timestamp,open,high,low,close,volume
2019-07-29 11:20:00,7.675,7.685,7.65,7.65,8809
2019-07-29 11:15:00,7.67,7.68,7.64,7.675,15025
2019-07-29 11:10:00,7.68,7.685,7.6601,7.665,13329
2019-07-29 11:05:00,7.7,7.7,7.67,7.68,14615
2019-07-29 11:00:00,7.67,7.7,7.66,7.685,18790
2019-07-29 10:55:00,7.64,7.67,7.635,7.67,15043
2019-07-29 10:50:00,7.615,7.64,7.61,7.635,25517
2019-07-29 10:45:00,7.55,7.61,7.55,7.61,23918
2019-07-29 10:40:00,7.59,7.59,7.545,7.55,27559
2019-07-29 10:35:00,7.635,7.66,7.59,7.59,15477
2019-07-29 10:30:00,7.69,7.7063,7.63,7.64,57290
2019-07-29 10:25:00,7.715,7.725,7.689,7.7,18022
2019-07-29 10:20:00,7.69,7.72,7.69,7.72,15443
2019-07-29 10:15:00,7.77,7.78,7.7,7.7,30766
2019-07-29 10:10:00,7.79,7.79,7.745,7.77,22172
2019-07-29 10:05:00,7.84,7.85,7.795,7.795,25689
2019-07-29 10:00:00,7.86,7.86,7.81,7.85,40171
2019-07-29 09:55:00,7.84,7.885,7.84,7.87,16435
2019-07-29 09:50:00,7.83,7.85,7.81,7.8401,9283
2019-07-29 09:45:00,7.93,7.93,7.7901,7.83,21629
2019-07-29 09:40:00,7.87,7.975,7.87,7.95,25221
2019-07-29 09:35:00,7.99,7.99,7.84,7.85,19319
2019-07-26 16:00:00,7.93,7.94,7.91,7.92,118038
2019-07-26 15:55:00,7.92,7.94,7.915,7.935,39547
2019-07-26 15:50:00,7.95,7.955,7.92,7.92,33392
2019-07-26 15:45:00,7.96,7.965,7.95,7.95,24710
2019-07-26 15:40:00,7.96,7.965,7.95,7.965,23067
2019-07-26 15:35:00,7.95,7.97,7.945,7.96,11860
2019-07-26 15:30:00,7.94,7.95,7.93,7.95,14949
2019-07-26 15:25:00,7.92,7.95,7.92,7.945,10539
2019-07-26 15:20:00,7.93,7.95,7.92,7.925,21960
2019-07-26 15:15:00,7.97,7.975,7.93,7.93,12124
2019-07-26 15:10:00,7.992,8.0,7.9739,7.9739,18382
2019-07-26 15:05:00,7.965,7.995,7.965,7.995,9719
2019-07-26 15:00:00,7.97,7.985,7.96,7.96,18318
2019-07-26 14:55:00,7.96,7.97,7.96,7.965,2432
2019-07-26 14:50:00,7.97,7.97,7.96,7.965,3760
2019-07-26 14:45:00,7.95,7.97,7.95,7.965,4487
2019-07-26 14:40:00,7.975,7.975,7.9501,7.955,7165
2019-07-26 14:35:00,7.95,7.97,7.95,7.97,7734
2019-07-26 14:30:00,7.94,7.965,7.94,7.95,12219
2019-07-26 14:25:00,7.95,7.95,7.94,7.94,2015
2019-07-26 14:20:00,7.935,7.96,7.93,7.95,11027
2019-07-26 14:15:00,7.925,7.945,7.92,7.935,10483
2019-07-26 14:10:00,7.905,7.93,7.9,7.93,17821
2019-07-26 14:05:00,7.845,7.9,7.845,7.9,14766
2019-07-26 14:00:00,7.835,7.85,7.835,7.85,12842
2019-07-26 13:55:00,7.84,7.85,7.83,7.835,9748
2019-07-26 13:50:00,7.835,7.84,7.83,7.835,2048
2019-07-26 13:45:00,7.835,7.86,7.83,7.83,15134
2019-07-26 13:40:00,7.84,7.85,7.83,7.8368,9784
2019-07-26 13:35:00,7.825,7.84,7.825,7.84,8965
2019-07-26 13:30:00,7.825,7.835,7.82,7.825,7795
2019-07-26 13:25:00,7.84,7.84,7.825,7.825,12659
2019-07-26 13:20:00,7.835,7.845,7.83,7.84,6529
2019-07-26 13:15:00,7.87,7.875,7.83,7.83,17162
2019-07-26 13:10:00,7.8633,7.8735,7.86,7.8665,11484
2019-07-26 13:05:00,7.865,7.875,7.86,7.865,6369
2019-07-26 13:00:00,7.87,7.87,7.86,7.865,3961
2019-07-26 12:55:00,7.88,7.885,7.87,7.87,9736
2019-07-26 12:50:00,7.905,7.905,7.87,7.88,10802
2019-07-26 12:45:00,7.905,7.91,7.88,7.9,14918
2019-07-26 12:40:00,7.88,7.9,7.88,7.9,8469
2019-07-26 12:35:00,7.845,7.8853,7.845,7.88,8382
2019-07-26 12:30:00,7.845,7.855,7.83,7.845,17147
2019-07-26 12:25:00,7.82,7.82,7.815,7.815,6248
2019-07-26 12:20:00,7.8255,7.8255,7.805,7.81,12238
2019-07-26 12:15:00,7.87,7.87,7.83,7.83,20045
2019-07-26 12:10:00,7.88,7.88,7.88,7.88,1030
2019-07-26 12:05:00,7.85,7.88,7.85,7.88,12665
2019-07-26 12:00:00,7.85,7.855,7.84,7.855,12028
2019-07-26 11:55:00,7.88,7.88,7.83,7.845,19748
2019-07-26 11:50:00,7.9,7.9,7.88,7.88,588630
2019-07-26 11:45:00,7.895,7.9201,7.89,7.905,0
2019-07-26 11:40:00,7.87,7.91,7.865,7.895,33135
2019-07-26 11:35:00,7.91,7.91,7.875,7.875,16041
2019-07-26 11:30:00,7.94,7.94,7.9,7.91,22832
2019-07-26 11:25:00,7.93,7.94,7.92,7.94,15931
2019-07-26 11:20:00,7.89,7.9086,7.89,7.9,5479
2019-07-26 11:15:00,7.86,7.89,7.86,7.89,5470
2019-07-26 11:10:00,7.85,7.88,7.84,7.85,9510
2019-07-26 11:05:00,7.82,7.85,7.8139,7.85,9103
2019-07-26 11:00:00,7.82,7.8519,7.82,7.8299,15486
2019-07-26 10:55:00,7.8227,7.83,7.82,7.82,8838
2019-07-26 10:50:00,7.82,7.8203,7.8,7.82,14403
2019-07-26 10:45:00,7.85,7.85,7.8,7.81,33190
2019-07-26 10:40:00,7.85,7.85,7.83,7.845,7802
2019-07-26 10:35:00,7.85,7.86,7.82,7.86,36396
2019-07-26 10:30:00,7.86,7.88,7.84,7.85,12592
2019-07-26 10:25:00,7.855,7.86,7.83,7.86,16750
2019-07-26 10:20:00,7.86,7.87,7.845,7.855,25531
2019-07-26 10:15:00,7.9,7.92,7.88,7.89,42534
2019-07-26 10:05:00,7.9202,7.94,7.9,7.9,25068
2019-07-26 10:00:00,8.04,8.04,7.94,7.945,18882
2019-07-26 09:55:00,7.97,8.05,7.97,8.04,21153
2019-07-26 09:50:00,7.9,7.995,7.87,7.97,31790
2019-07-26 09:45:00,7.835,7.9599,7.835,7.89,28944
2019-07-26 09:40:00,7.855,7.865,7.74,7.82,31439
2019-07-26 09:35:00,7.8847,7.9,7.78,7.86,65516
2019-07-25 16:00:00,7.975,7.99,7.97,7.99,89781
2019-07-25 15:55:00,7.985,7.985,7.965,7.975,49188
2019-07-25 15:50:00,7.975,7.99,7.975,7.985,22203
2019-07-25 15:45:00,7.985,8.0,7.97,7.975,32996
2019-07-25 15:40:00,8.0,8.005,7.98,7.985,19043
2019-07-25 15:35:00,7.98,8.01,7.97,8.0093,15322
2019-07-25 15:30:00,7.975,8.0,7.975,7.975,19744
2019-07-25 15:25:00,7.965,7.98,7.96,7.975,8802
2019-07-25 15:20:00,7.965,7.98,7.96,7.965,8350
2019-07-25 15:15:00,7.955,7.975,7.955,7.965,14524
2019-07-25 15:10:00,7.92,7.96,7.92,7.96,10010
2019-07-25 15:05:00,7.95,7.96,7.92,7.925,13566
2019-07-25 15:00:00,7.97,7.97,7.95,7.95,7800
2019-07-25 14:55:00,7.975,7.99,7.96,7.96,13466
2019-07-25 14:50:00,7.955,7.98,7.95,7.98,21240
2019-07-25 14:45:00,7.96,7.97,7.95,7.95,9470
2019-07-25 14:40:00,7.97,7.98,7.96,7.965,5373
2019-07-25 14:35:00,7.965,7.98,7.96,7.965,9161
2019-07-25 14:30:00,7.965,7.97,7.95,7.965,11382
2019-07-25 14:25:00,7.98,7.985,7.96,7.965,5035
2019-07-25 14:20:00,8.01,8.01,7.975,7.985,6807
2019-07-25 14:15:00,8.0,8.03,8.0,8.01,17904
2019-07-25 14:10:00,7.985,8.01,7.985,8.0,14860
2019-07-25 14:05:00,7.98,7.99,7.98,7.985,4343
2019-07-25 14:00:00,7.98,8.0,7.975,7.98,7930
2019-07-25 13:55:00,8.0,8.01,7.98,7.98,16131
2019-07-25 13:50:00,7.98,8.0,7.977,8.0,10911
2019-07-25 13:45:00,7.965,7.98,7.96,7.98,7839
2019-07-25 13:40:00,7.99,7.99,7.96,7.97,8047
2019-07-25 13:35:00,7.985,7.99,7.97,7.99,8192
2019-07-25 13:30:00,7.94,7.99,7.935,7.99,11111
2019-07-25 13:25:00,7.92,7.94,7.91,7.94,15141
2019-07-25 13:20:00,7.945,7.945,7.93,7.93,8682
2019-07-25 13:15:00,7.94,7.95,7.93,7.94,12340
2019-07-25 13:10:00,7.97,7.98,7.94,7.94,5158
2019-07-25 13:05:00,7.995,7.995,7.975,7.975,5870
2019-07-25 13:00:00,7.99,8.005,7.98,7.995,9521
2019-07-25 12:55:00,7.98,8.0,7.97,7.99,5917
2019-07-25 12:50:00,7.94,7.99,7.93,7.99,8259
2019-07-25 12:45:00,7.96,7.96,7.93,7.945,29863
2019-07-25 12:40:00,7.985,7.995,7.95,7.96,23133
2019-07-25 12:35:00,8.01,8.02,7.98,7.98,11984
2019-07-25 12:30:00,7.97,8.01,7.97,8.01,15246
2019-07-25 12:25:00,7.945,7.98,7.94,7.975,8237
2019-07-25 12:20:00,7.96,7.97,7.94,7.945,16778
2019-07-25 12:15:00,7.97,7.97,7.95,7.965,13910
2019-07-25 12:10:00,7.9535,7.98,7.9535,7.975,27170
2019-07-25 12:05:00,7.91,7.92,7.9,7.9,6083
2019-07-25 12:00:00,7.9,7.93,7.89,7.915,25870
2019-07-25 11:55:00,7.875,7.91,7.875,7.9,26325
2019-07-25 11:50:00,7.865,7.88,7.86,7.875,9367
2019-07-25 11:45:00,7.87,7.88,7.86,7.86,15596
2019-07-25 11:40:00,7.8688,7.9,7.85,7.87,42012
2019-07-25 11:35:00,7.9,7.91,7.875,7.88,16850
2019-07-25 11:30:00,7.94,7.96,7.9,7.9,24254
2019-07-25 11:25:00,7.93,7.955,7.925,7.933,19098
2019-07-25 11:20:00,7.96,7.9687,7.91,7.93,24686
2019-07-25 11:15:00,7.91,7.96,7.91,7.96,18840
2019-07-25 11:10:00,7.955,7.96,7.88,7.905,47044
2019-07-25 11:05:00,7.97,7.975,7.93,7.95,45365
2019-07-25 11:00:00,8.045,8.065,7.97,7.9752,135752
2019-07-25 10:55:00,8.11,8.11,8.025,8.045,52032
2019-07-25 10:50:00,8.15,8.15,8.1,8.109,14661
2019-07-25 10:45:00,8.165,8.165,8.12,8.15,17608
2019-07-25 10:40:00,8.17,8.19,8.16,8.165,14089
2019-07-25 10:35:00,8.19,8.2139,8.17,8.17,17443
2019-07-25 10:30:00,8.1465,8.19,8.14,8.1879,21225
2019-07-25 10:25:00,8.17,8.17,8.145,8.15,53207
2019-07-25 10:10:00,8.2,8.205,8.14,8.14,38604
2019-07-25 10:05:00,8.12,8.13,8.12,8.13,7501
2019-07-25 10:00:00,8.1706,8.18,8.06,8.085,45566
2019-07-25 09:55:00,8.12,8.17,8.0786,8.17,40587
2019-07-25 09:50:00,8.17,8.1781,8.12,8.12,38998
2019-07-25 09:45:00,8.35,8.36,8.18,8.18,41455
2019-07-25 09:40:00,8.37,8.43,8.36,8.37,25521
2019-07-25 09:35:00,8.5,8.51,8.33,8.36,33917
